id,title,price,currency_id,ITEM_CONDITION,SINGLE_OWNER,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,ENGINE_DISPLACEMENT,LINE,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,CYLINDERS,ENGINE_MANUFACTURER,LOADING_CAPACITY,LENGTH,MCO1744-CILIND,MCO1744-TRAC,MCO1744-COMBUS,MCO1744-KMTS
MCO866551977,Ford Fiesta ,47800000,COP,Usado,Sí,Ford,4,1.6,Gasolina,59638 km,Fiesta,Mecánica,1.6 Sportback Titanium,2017,1.6 L,g7,5,120 hp,Delantera
MCO866564332,Chevrolet Spark,18450000,COP,Usado,,Chevrolet,4,1.0,Gasolina,102400 km,Spark GT,Mecánica,1.0,2012,1000 L,,,,Delantera
MCO866038921,Mazda Cx-30 Grand Touring 2.0 Mod 2021,106500000,COP,Usado,,Mazda,5,,Gasolina,18500 km,CX-30,Automática,Grand Touring,2021,2000 L,,,,4x2,Sí
MCO866376322,Bmw X4 Xdrive30i 2021,208900000,COP,Usado,Sí,BMW,5,2000,Gasolina,9200 km,X4,Automática,XDRIVE30I,2021,1998 L,,,,4x4,Sí
MCO866063236,Chevrolet Tracker Lt 4x2 1800cc At Aa,48500000,COP,Usado,No,Chevrolet,5,,Gasolina,114525 km,Tracker,Automática,LT 4X2 1800CC AT AA,2014,1800 cc,,,,4x2,Sí
MCO866114590,Volkswagen Golf Sel Sportwagen 2.0 Tdi Automatica,65000000,COP,Usado,Sí,Volkswagen,5,2.0 Turbo Diesel,Diésel,46000 km,Golf,Automática,SEL Sportwagen 2.0 TDI Automatica,2016,2000 cc,,,,4x2,Sí
MCO866063229,Toyota Hilux Doble Cabina,140000000,COP,Usado,,Toyota,4,3.0,Diésel,119000 km,Hilux,Mecánica,3.0 Srv 163 hp,2013,2982 cc,g7,2,163 hp,4x4,Sí
MCO865932372,Kia Picanto Vibrant,46000000,COP,Usado,Sí,Kia,5,1.25,Gasolina,13000 km,Picanto,Mecánica,1.25 VIBRANT,2021,125 L,,,,,Sí
MCO866012574,Chevrolet Spark,29900000,COP,Usado,,Chevrolet,4,1200,Gasolina,79000 km,Spark GT,Mecánica,1.2,2014,1200 L,,,,,Sí
MCO866018780,Mercedes Benz A200,74900000,COP,Usado,,Mercedes-Benz,5,1.6,Gasolina,50000 km,Clase A,Automática,1.6 A 200,2016,1.6 L,,5,154 hp,Delantera,Sí
MCO866012008,Mazda,140000000,COP,Usado,,Mazda,5,2.5,Gasolina,16500 km,CX-5,Automática,2.5 Grand Touring Station Wagon 4x4,2020,2.5 L,,5,188 hp,4x4,Sí
MCO865937893,Renault Logan Expression 1.6 Mecanico Sedan,33000000,COP,Usado,Sí,Renault,4,1.6,Gasolina,59315 km,Logan,Mecánica,Expression 1.6 Mecanico Sedan,2016,1600 cc,,,,4x2,Sí
MCO865975057,Bmw X5 Xdrive300 2014,119000000,COP,Usado,No,BMW,5,3.0,Diésel,90000 km,X5,Automática,3.0 Xdrive30d Premium 245 hp,2014,3 L,,5,245 hp,4x4,Sí
MCO865931124,Toyota Fortuner 4x2 2400cc At Aa,173000000,COP,Usado,Sí,Toyota,5,,Diésel,25000 km,Fortuner,Automática,4X2 2400CC AT AA,2020,2400 cc,,,,4x2,Sí
MCO866043164,Chevrolet Samurai,32800000,COP,Usado,,Chevrolet,5,1.3,Gasolina,257000 km,Samurai,Mecánica,1.3,1997,1300 cc,,5,63 hp,4x4,
MCO865949194,Hyundai Accent Vision Gls,23600000,COP,Usado,,Hyundai,4,1400,Gasolina,163000 km,Accent,Mecánica,Vision GLS,2008,1400 cc,,,,4x2,
MCO866036689,Chevrolet,37000000,COP,Usado,Sí,Chevrolet,4,1.4,Gasolina,22500 km,Sail,Mecánica,1.4 Ltz,2018,1.4 L,,5,102 hp,Delantera,Sí
MCO866004510,Nissan Versa 1.6 Advance,33000000,COP,Usado,,Nissan,4,1600,Gasolina,80600 km,Versa,Mecánica,1.6 Advance,2013,1600 L,,,,,Sí
MCO865880114,Reanult Sandero Dynamique,32500000,COP,Usado,,Renault,5,1.6,Gasolina,32500 km,Sandero,Mecánica,1.6 Dynamique 90 hp,2014,1.6 L,,5,90 hp,Delantera,Sí
MCO865985853,Toyota,95000000,COP,Usado,,Toyota,5,4.7,Gasolina,158415 km,Land Cruiser,Automática,4.7 Vxr Uzj100 Imperial,2002,4.7 L,,5,234 hp,4x4,Sí
MCO865873747,Toyota Fortuner,220000000,COP,Usado,,Toyota,5,2400,Diésel,24000 km,Fortuner,Automática,2.4 TURBODIESEL 4X2,2019,2400 L,,,,4x2,Sí
MCO865841364,Nissan,45000000,COP,Usado,Sí,Nissan,5,1.6,Gasolina,35000 km,March,Automática,1.6 Sense,2016,1.6 L,,5,106 hp,Delantera,Sí
MCO865873290,Mercedes -benz Clase C 180 1.6 At Sedan,97000000,COP,Usado,Sí,Mercedes-Benz,4,1.6,Gasolina,40500 km,Clase C,Automática,180 1.6 AT Sedan,2017,1600 cc,,,,4x2,Sí
MCO865936051,Nissan Qashqai ,95800000,COP,Usado,Sí,Nissan,4,2000,Gasolina,7000 km,Qashqai,Mecánica,Qashqai 4x2 Mecánica 2.0,2022,,,,,4x2,Sí
MCO865929598,Nissan X-trail T32 4x4 Exclusive,95000000,COP,Usado,Sí,Nissan,5,2500,Gasolina,58000 km,X-Trail,Automática,2.5 T32 4X4 EXCLUSIVE,2017,2500 L,,,,4x4,Sí
MCO865878651,Nissan X-trail Exclusive 2.5 At 4x4,91900000,COP,Usado,,Nissan,5,2.5,Gasolina,46000 km,X-Trail,Automática,Exclusive 2.5 AT 4X4,2017,2500 cc,,,,4x4,Sí
MCO865947437,Kia Sportage,96500000,COP,Usado,Sí,Kia,5,2.0,Gasolina,16600 km,Sportage,Automática,2.0 Emotion Aut,2019,2 L,,5,155 hp,4x2,Sí
MCO865604330,Chevrolet Captiva ,90000000,COP,Usado,Sí,Chevrolet,5,1500,Gasolina,2000 km,Captiva,Automática,1.5 Lt Turbo,2021,1451 L,,,,4x2,Sí
MCO865554439,Renault,39000000,COP,Usado,Sí,Renault,4,2.0,Gasolina,82650 km,Mégane III,Automática,2.0l,2013,2 L,,5,143 hp,Delantera,Sí
MCO865522270,Bmw 220i Cabrio,139000000,COP,Usado,Sí,BMW,2,2.0,Gasolina,31500 km,220I,Automática,CABRIO,2020,,,,,Trasera,Sí
MCO865655272,Mazda,84000000,COP,Usado,Sí,Mazda,4,2.0,Gasolina,20000 km,3,Automática,2.0 Touring,2021,2 L,,5,153 hp,Delantera,Sí
MCO865598017,Audi A1 Sportback Tfsi 14000cc Turbo At Hb,58000000,COP,Usado,No,Audi,4,,Gasolina,112000 km,A1,Automática,Sportback Tfsi 1400cc Turbo At Hb,2015,1400 cc,,,,,Sí
MCO865560500,Hyundai Tucson,98000000,COP,Usado,Sí,Hyundai,5,2000,Gasolina,4000 km,Tucson,Automática,2.0 Advance,2022,1999 L,,,,4x2,Sí
MCO865654778,Volkswagen,50000000,COP,Usado,,Volkswagen,4,2.5,Gasolina,60000 km,NUEVO JETTA,Automática,2.5 Comfortline,2012,2500 cc,vi,5,170 hp,Delantera,Sí
MCO865654756,Renault Duster 2.0 Dynamique 4x2,73000000,COP,Usado,Sí,Renault,5,2.0,Gasolina,32540 km,Duster,Automática,2.0 Dynamique 4x2,2020,2 L,,5,143 hp,4x2,Sí
MCO865718208,Mitsubishi 3.0 Montero Pajero 4x4,55000000,COP,Usado,,Mitsubishi,5,3000,Gasolina,191119 km,Montero,Mecánica,3.0 PAJERO,2005,3000 L,,,,4x4,Sí
MCO865514941,Kia Rio Spice Ub Ex 2016,49900000,COP,Usado,,Kia,5,1.4,Gasolina,60672 km,Rio,Automática,SPICE,2016,1400 cc,,,,4x2,Sí
MCO865597407,Toyota Fortuner,90000000,COP,Usado,No,Toyota,5,,Gasolina,121000 km,Fortuner,Mecánica,2.7 Srs 4x4,2011,,,,,4x4,Sí
MCO865508250,Bmw,160000000,COP,Usado,No,BMW,5,4.4,Gasolina,65500 km,X5,Automática,4.4 Xdrive50i Sport,2013,4.4 L,,5,407 hp,4x4,
MCO865553405,Hyundai Getz Gl,24500000,COP,Usado,,Hyundai,5,1.6,Gasolina,81000 km,Getz,Mecánica,1.6 Gl,2011,1599 cc,,5,107 hp,Delantera,
MCO865521196,Ford,68500000,COP,Usado,,Ford,5,2.0,Gasolina,86400 km,Escape,Automática,2.0 Se 4x4,2015,2 L,,5,240 hp,4x4,
MCO865653855,Toyota,267500000,COP,Usado,Sí,Toyota,4,2800 TURBO DIESEL,Diésel,998 km,Hilux,Automática,EURO 2.8 TURBO DIESEL 4X4,2022,2800 L,,,,4x4,
MCO865506766,Mazda 6 All New,44000000,COP,Usado,,Mazda,4,2500,Gasolina,113000 km,6,Automática,2.5 All New,2012,4 L,,,,4x2,
MCO865519721,Kia Sorento Ex 2007,36000000,COP,Usado,No,Kia,5,3.8,Gasolina,106000 km,Sorento,Automática,3.8 Ex,2007,3778 cc,,5,266 hp,4x4,Sí
MCO865558255,Ford,62000000,COP,Usado,No,Ford,5,2.0,Gasolina,40000 km,Ecosport 2,Automática,2.0 Se,2018,2 L,,5,168 hp,4x2,Sí
MCO865506485,Bmw,188000000,COP,Usado,Sí,BMW,5,2000 TURBO,Gasolina,39200 km,X4,Automática,X4 XDRIVE30I,2020,2000 L,,,,4x4,
MCO865475077,Kia Sportage Revolution,63000000,COP,Usado,Sí,Kia,5,2.0,Gasolina,98000 km,Sportage,Mecánica,2.0 Revolution Gasolina 4x2,2012,1995 cc,,5,166 hp,4x2,Sí
MCO865524983,Mazda Mecanico,47500000,COP,Usado,No,Mazda,4,2.0,Gasolina,91929 km,3,Automática,2.0 Lxna0 All New,2013,1999 cc,,5,145 hp,Delantera,Sí
MCO865512102,Mitsubishi L 300 2.0l 2013,49000000,COP,Usado,Sí,Mitsubishi,5,2000,Gasolina,93000 km,L300,Mecánica,L300,2013,1997 L,,,,Trasera,Sí
MCO865556913,Toyota Hilux,80000000,COP,Usado,,Toyota,2,2.7,Gasolina,165000 km,Hilux,Mecánica,2.7 Imv 4x4,2008,2700 cc,g7,2,160 hp,4x4,Sí
MCO865480462,Audi A6 Multitronic 2012,65200000,COP,Usado,No,Audi,4,2.8,Gasolina,56250 km,A6,Automática,2.8 V6 Multitronic Lujo,2012,2773 cc,,5,210 hp,Delantera,Sí
MCO865504575,Chevrolet Onix Active Mc Modelo 2018,54500000,COP,Usado,Sí,Chevrolet,5,,Gasolina,53476 km,Onix,Mecánica,ACTIVE,2018,,,,,4x2,Sí
MCO865275616,Jeep Wranger Sport,125000000,COP,Usado,Sí,Jeep,5,3.8,Gasolina,36970 km,Wrangler,Mecánica,3.8 Sport,2011,3778 cc,,5,202 hp,4x4,Sí
MCO865309919,Kia Rio Sedán Mecánico,41800000,COP,Usado,No,Kia,4,1400,Gasolina,69000 km,Rio,Mecánica,Sedán Mecánico,2014,,,,,4x2,Sí
MCO865285998,Nissan Frontier Np300,79900000,COP,Usado,Sí,Nissan,4,2500,Gasolina,94500 km,Frontier,Mecánica,2.5 NP300 4X2,2016,2500 L,,,,4x2,
MCO865309875,Renault Clio Expression,20500000,COP,Usado,,Renault,5,1600,Gasolina,206000 km,Clio,Mecánica,1.6 Expression,2006,,,,,4x2,Sí
MCO865302617,Renault Logan Expression 2017,37500000,COP,Usado,No,Renault,4,1.6,Gasolina,44000 km,Logan,Mecánica,1.6 Expression,2017,1.6 L,,5,85 hp,Delantera,Sí
MCO865183505,Kia New Sportage Ex,93800000,COP,Usado,,Kia,5,2000,Gasolina,36000 km,NEW SPORTAGE,Automática,2.0 Ex,2018,2000 L,,,,4x2,Sí
MCO865276616,Toyota Prado,58500000,COP,Usado,No,Toyota,5,2.7,Gasolina,185000 km,Prado,Mecánica,2.7 Sumo,2006,2700 cc,,5,150 hp,4x4,Sí
MCO865282984,Chevrolet Grand Vitara ,33200000,COP,Usado,,Chevrolet,3,1600,Gasolina,170000 km,Grand Vitara,Mecánica,1.6 Mt,2001,,,,,4x4,Sí
MCO865263914,Ford Ranger,148000000,COP,Usado,Sí,Ford,4,,Diésel,8700 km,Ranger,Mecánica,3.2 Xls 4x4,2022,,,,,4x4,Sí
MCO865231421,Toyota Prado 2019,263000000,COP,Usado,Sí,Toyota,5,3.0,Diésel,21093 km,Prado,Automática,3.0 Tx-l Fl,2019,3 L,,5,170 hp,4x4,Sí
MCO865182117,Nissan March ,33500000,COP,Usado,,Nissan,5,1.6,Gasolina,65000 km,March,Mecánica,1.6 Active,2017,1.6 L,,5,106 hp,Delantera,Sí
MCO865158817,Mazda 3 ,31800000,COP,Usado,,Mazda,4,1.6,Gasolina,126000 km,3,Mecánica,1.6 Z6na7,2012,1598 cc,,5,104 hp,Delantera,Sí
MCO865061625,Toyota Hilux Vigo,95000000,COP,Usado,,Toyota,4,2700,Gasolina,109400 km,Hilux,Mecánica,Vigo,2011,2700 cc,,,,4x4,Sí
MCO865018084,Volkswagen Gol Confortline,31000000,COP,Usado,,Volkswagen,5,1.6,Gasolina,106000 km,Gol,Mecánica,1.6 Confortline,2013,1600 L,,,,,
MCO865017510,Mazda Cx-5 2020,126000000,COP,Usado,Sí,Mazda,5,2.5,Gasolina,11100 km,CX-5,Automática,2.5 Grand Touring,2020,2.5 L,,5,185 hp,4x2,Sí
MCO864864352,Ford Fiesta Se,41000000,COP,Usado,No,Ford,5,1500,Gasolina,65000 km,Fiesta,Mecánica,SE,2015,,,,,4x2,Sí
MCO864752714,Dodge Journey Se 2.4 Fi Automática,76400000,COP,Usado,Sí,Dodge,5,2.4,Gasolina,31000 km,Journey,Automática,SE 2.7 FI  Automática 7 Pts,2018,2400 cc,,,,4x2,Sí
MCO864672747,Renault Kwid,38600000,COP,Usado,Sí,Renault,5,1.0,Gasolina,19800 km,Kwid,Mecánica,1.0 12v,2020,1 L,,5,66 hp,4x2,Sí
MCO864608768,Ford F 150 1997,20000000,COP,Usado,Sí,Ford,2,5.0,Gasolina y gas,346355 km,F-150,Mecánica,5.0 Xl 195 hp 4x2,1997,5000 cc,g9,2,195 hp,4x2,
MCO864627999,Hyundai Santa Fe,43000000,COP,Usado,,Hyundai,5,2.2,Diésel,130522 km,Santa Fe,Mecánica,2.2 Gl Crdi,2009,2188 cc,,5,150 hp,4x4,Sí
MCO864596163,Chevrolet Sonic Lt,40500000,COP,Usado,,Chevrolet,4,1600,Gasolina,62427 km,Sonic,Mecánica,Lt,2015,1600 cc,,,,4x2,Sí
MCO864601814,Mercedes Benz,74800000,COP,Usado,Sí,Mercedes-Benz,5,1.6,Gasolina,45800 km,Clase A,Automática,1.6 A 200,2016,1.6 L,,5,154 hp,Delantera,Sí
MCO864621190,Ford Fiesta Se,30000000,COP,Usado,Sí,Ford,4,1.6,Gasolina,78200 km,Fiesta,Mecánica,SE,2011,1596 cc,g6,5,,Delantera,Sí
MCO864608120,Volkswagen Voyage Trendline 1600cc Mt Aa,45000000,COP,Usado,,Volkswagen,4,,Gasolina,24840 km,Voyage,Mecánica,TRENDLINE 1600CC MT AA,2021,1600 cc,,,,,Sí
MCO864584870,Renault Megane 2,22800000,COP,Usado,,Renault,4,2000,Gasolina,90000 km,Megane 2,Mecánica,2.0 Mt,2008,,,,,4x2,Sí
MCO864607978,Mazda,64000000,COP,Usado,,Mazda,5,1.5,Gasolina,24200 km,2,Automática,1.5 Touring,2020,1.5 L,,5,106 hp,Delantera,Sí
MCO864601391,Mercedes-benz Clase Glc 300 At 2.0 Turbo 4matic,218000000,COP,Usado,Sí,Mercedes-Benz,5,2.0 Turbo,Gasolina,9910 km,Clase GLC,Automática,300 At 2.0 Turbo 4Matic,2021,2000 cc,,,,4x4,Sí
MCO864578609,Mazda,33990000,COP,Usado,Sí,Mazda,5,1500,Gasolina,45000 km,2,Mecánica,215hm8,2010,1500 L,,,,Delantera,
MCO864578469,Chevrolet,83000000,COP,Usado,,Chevrolet,5,3.6,Gasolina,52500 km,Traverse,Automática,3.6l Lt,2016,3.6 L,,5,281 hp,4x4,
MCO864633239,Mercedes Benz,115000000,COP,Usado,,Mercedes-Benz,4,2000 turbo,Gasolina,17600 km,Clase C,Automática,C 200 exclusive,2018,2000 L,,,,Delantera,
MCO864584493,Nissan X-trail Advance 2021,115000000,COP,Usado,Sí,Nissan,5,2.5,Gasolina,17276 km,X-Trail,Automática,ADVANCE,2021,2500 cc,,,,4x2,Sí
MCO864626780,Renault Stepway 1600cc Mt Aa,36000000,COP,Usado,,Renault,5,,Gasolina,94100 km,Stepway,Mecánica,1600CC MT AA,2014,1600 cc,,,,,Sí
MCO864620384,Hyundai Accent Premiun,53000000,COP,Usado,No,Hyundai,4,1.6,Gasolina,38000 km,Accent,Mecánica,1.6 Premium,2019,1.6 L,,5,124 hp,Delantera,Sí
MCO864584019,Hyundai New Tucson,75000000,COP,Usado,Sí,Hyundai,5,2000,Gasolina,70000 km,NEW TUCSON,Mecánica,2.0,2016,2000 L,,,,4x2,Sí
MCO864600617,Mazda 2,61900000,COP,Usado,No,Mazda,5,1.5,Gasolina,28000 km,2,Automática,1.5 Prime,2020,1.5 L,,5,106 hp,Delantera,Sí
MCO864583685,Nissan,41500000,COP,Usado,Sí,Nissan,5,1.6,Gasolina,23350 km,Note,Mecánica,1.6 Sense,2017,1.6 L,,5,109 hp,Delantera,Sí
MCO864594259,Nissan Tiida Miio 2015,34000000,COP,Usado,No,Nissan,4,1.6,Gasolina,72048 km,Tiida,Mecánica,1.6 Miio,2015,1.6 L,,5,106 hp,Delantera,Sí
MCO864514206,Ford,73900000,COP,Usado,,Ford,5,2.0,Gasolina,92400 km,Escape,Automática,2.0 Se 245 hp 4x2,2017,2 L,,5,245 hp,4x2,
MCO864582159,Citroen C-elysee Mt,45000000,COP,Usado,Sí,Citroën,4,1.6,Gasolina,20000 km,C-Elysée,Mecánica,1.6 Feel,2019,1.6 L,,5,115 hp,Delantera,Sí
MCO864441005,Chevrolet Tracker 2015,48700000,COP,Usado,No,Chevrolet,5,1.8,Gasolina,83622 km,Tracker,Automática,1.8 Ls,2015,1.8 L,,5,138 hp,4x2,Sí
MCO864511479,Mercedes Benz Cla 180,83000000,COP,Usado,,Mercedes-Benz,4,1600,Gasolina,42000 km,Clase CLA,Automática,1.6 180,2017,1600 L,,,,,Sí
MCO864340695,Audi,120000000,COP,Usado,Sí,Audi,5,1.4,Gasolina,15000 km,Q3,Automática,1.4 Tfsi Progressive,2018,1395 cc,,5,150 hp,4x2,Sí
MCO864366425,Chevrolet Spark Life Aire Acondicionado,31800000,COP,Usado,,Chevrolet,5,1000,Gasolina,37000 km,Spark,Mecánica,Life Aire Acondicionado,2019,,,,,4x2,Sí
MCO864346896,Suzuki Grand Vitara Sz ,42800000,COP,Usado,,Suzuki,5,2000,Gasolina,128000 km,Grand Vitara,Automática,Sz At 2.0,2008,,,,,4x2,Sí
MCO864301776,Nissan Versa,68000000,COP,Usado,Sí,Nissan,4,1.6,Gasolina,13000 km,Versa,Automática,1.6 Advance,2020,1.6 L,,5,106 hp,Delantera,Sí
MCO864183393,Chevrolet Luv Dimax 2011,57000000,COP,Usado,No,Chevrolet,2,2500,Diésel,142112 km,LUV,Mecánica,DMAX,2011,2499 L,,,,4x2,Sí
MCO864169785,Audi Q7 3.0 Tdi Qattro Progressive 7psj,182000000,COP,Usado,,Audi,5,3000,Diésel,40000 km,Q7,Automática,3.0 TDI QATTRO PROGRESSIVE 7PSJ,2018,,,,,4x4,Sí
MCO864207208,Mazda 626 Matsuri,10000000,COP,Usado,,Mazda,4,2000,Gasolina,243461 km,626,Mecánica,2.0 Matsuri,1995,,,,,,Sí
MCO864225738,Mazda 3 Grand Touring 2.0 2017 ,70500000,COP,Usado,,Mazda,4,,Gasolina,49088 km,3,Automática,GRAND TOURING,2017,2000 cc,,,,4x2,Sí
MCO864204992,Chevrolet Rodeo V6,27000000,COP,Usado,,Chevrolet,4,3.2,Gasolina,278111 km,RODEO V6,Mecánica,3.2,2000,3200 L,,,,4x4,
MCO864197479,Mercedes Benz A45 Amg 4matic 2016,112000000,COP,Usado,,Mercedes-Benz,5,,Gasolina,80500 km,Clase A,Automática,A 45 AMG 4MATIC,2016,2000 L,,,,4x4,
MCO864203954,Nissan,125000000,COP,Usado,Sí,Nissan,5,3.5,Gasolina,61700 km,Murano,Automática,3.5 Z52 Exclusive,2019,3.5 L,,5,260 hp,4x4,Sí
MCO863896828,Renault Sandero,42600000,COP,Usado,Sí,Renault,5,1.6,Gasolina,28000 km,Sandero,Mecánica,1.6 Expression,2019,1.6 L,,5,85 hp,Delantera,Sí
MCO863864152,Range Rover Evoque 2.0 S Turbo 4x4,251800000,COP,Usado,Sí,Land Rover,5,2000 TURBO,Gasolina,9650 km,Evoque,Automática,Evoque 2.0 TURBO,2020,2000 L,,,,4x4,
MCO863916138,Suzuki Swift Dzire Tam 2000cc At Aa,52000000,COP,Usado,,Suzuki,4,,Gasolina,41189 km,Swift,Automática,DZIRE TAM 2000CC AT AA,2020,2000 cc,,,,,Sí
MCO863870360,Mercedes Benz A200 2015,67000000,COP,Usado,,Mercedes-Benz,5,,Gasolina,85000 km,A 200,Automática,TP,2015,1600 cc,,,,4x2,Sí
MCO863795742,Mercedes Benz E 350,85000000,COP,Usado,Sí,Mercedes-Benz,4,3.5,Gasolina,56800 km,E-350,Automática,3.5,2012,3500 L,,,,,
MCO863800933,Chevrolet Aveo Gt Emotion ,23900000,COP,Usado,,Chevrolet,5,1.6,Gasolina,130000 km,AVEO GT EMOTION,Mecánica,EMOTION,2011,1600 L,,,,4x2,Sí
MCO863609528,Hyundai Tucson Mecánica 4x4,43800000,COP,Usado,No,Hyundai,4,2000,Gasolina,118000 km,Tucson,Mecánica,Mecánica 4x4,2008,,,,,4x4,Sí
MCO863609153,Subaru Impreza,68000000,COP,Usado,,Subaru,5,2.5,Gasolina,130000 km,Impreza,Mecánica,2.5 Wrx Awd Gh,2008,2457 cc,,5,224 hp,4x4,Sí
MCO863736172,Chevrolet Aveo Emotion ,28000000,COP,Usado,Sí,Chevrolet,4,1.6,Gasolina,61000 km,AVEO EMOTION,Automática,1.6 Gt,2012,1598 cc,,5,103 hp,Delantera,
MCO863526456,Toyota Fortuner Sw4 Xroad,223000000,COP,Usado,No,Toyota,5,2.8,Diésel,49000 km,Fortuner,Automática,SW4 XRoad,2019,,,,,4x4,Sí
MCO863557299,Renault Duster Expression 2016,47000000,COP,Usado,Sí,Renault,5,1600,Gasolina,93006 km,Duster,Mecánica,EXPRESSION,2016,1598 L,,,,,Sí
MCO863781120,Nissan March Active ,35400000,COP,Usado,,Nissan,5,1.6,Gasolina,50890 km,March,Mecánica,1.6 Active,2015,1.6 L,,5,106 hp,Delantera,Sí
MCO863531969,Kia Rio 2021,66500000,COP,Usado,No,Kia,4,1.4,Gasolina,17500 km,Rio,Mecánica,1.4 Vibrant Hb 4 p,2021,1.4 L,,5,99 hp,Delantera,Sí
MCO863487924,Bmw,125000000,COP,Usado,,BMW,5,2.0,Gasolina,26600 km,X3,Automática,2.0 F25 Xdrive28i,2017,2 L,,5,245 hp,4x4,
MCO863569427,Kia Cerato Pro Summa Ex 1600cc Mt Aa,55000000,COP,Usado,,Kia,4,,Gasolina,59900 km,CERATO PRO,Mecánica,Summa Ex 1600cc Mt Aa,2016,1600 cc,,,,,Sí
MCO863531229,Bmw,45000000,COP,Usado,Sí,BMW,5,1.6,Gasolina,117000 km,Serie 1,Mecánica,1.6 116i E87 Sport,2011,1.6 L,,5,114 hp,Trasera,Sí
MCO863487417,Toyota Burbuja Land Cruiser Fzj80 4.5cc Mt Aa 4x4,132000000,COP,Usado,No,Toyota,5,4500,Gasolina,350000 km,Burbuja,Mecánica,Land Cruiser FZJ80 4.5cc MT AA 4X4,1997,4500 L,,,,4x4,Sí
MCO863531085,Toyota Hilux Vigo,138000000,COP,Usado,Sí,Toyota,4,3000,Diésel,127000 km,Hilux,Mecánica,Vigo,2013,3000 cc,,,,4x4,Sí
